科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生
720803,牙體技術科,D 日,5 五專,97,149,119,148,110,144,93,140,88,137,0,0,0,0,29,22
720803,牙體技術科,N 修,2 二專,81,27,49,8,0,0,0,0,0,0,0,0,0,0,2,0
720804,口腔衛生(科學)學系,D 日,M 碩士,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0
720804,口腔衛生(科學)學系,D 日,B 學士,41,67,21,60,16,52,14,33,0,0,0,0,0,0,7,5
720804,口腔衛生(科學)學系,N 職,M 碩士,4,12,4,11,2,0,0,2,0,0,0,0,0,0,0,0
720804,口腔衛生(科學)學系,N 修,C 學士,0,0,0,0,4,4,6,3,5,17,0,0,0,0,0,1
720805,口腔醫學研究所,D 日,M 碩士,6,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0
720806,口腔生物(科學)研究所,D 日,D 博士,1,2,1,3,2,4,4,0,0,0,1,0,0,0,0,0
720806,口腔生物(科學)研究所,D 日,M 碩士,15,10,13,15,2,2,0,0,0,0,0,0,0,0,0,0
720807,口腔科學研究所,D 日,D 博士,2,1,2,0,1,2,1,0,2,0,1,0,0,0,0,0
720807,口腔科學研究所,D 日,M 碩士,3,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0
720811,顱顏口腔醫學研究所,D 日,M 碩士,6,9,2,3,3,1,2,2,0,0,0,0,0,0,5,1
729901,法醫學研究所,D 日,M 碩士,1,3,1,1,3,1,6,5,0,0,0,0,0,0,0,0
729902,醫學科技研究所,D 日,M 碩士,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729904,(醫學分子)毒理學研究所,D 日,D 博士,3,4,5,0,1,2,1,1,3,1,2,1,1,0,0,0
729904,(醫學分子)毒理學研究所,D 日,M 碩士,4,6,5,5,2,1,0,0,0,0,0,0,0,0,0,0
729906,生物統計學研究所,D 日,M 碩士,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0
729907,組織工程與再生醫學學位學程,D 日,D 博士,3,3,1,0,4,3,2,1,0,0,1,0,0,0,0,0
729908,養生與健康行銷學系,D 日,B 學士,37,49,34,49,19,61,35,36,0,0,0,0,0,0,6,7
729909,腦與心智科學研究所,D 日,M 碩士,4,9,2,11,5,3,0,0,0,0,0,0,0,0,0,0
729910,跨專業長期照護學位學程,N 職,M 碩士,1,14,2,11,2,10,0,0,0,0,0,0,0,0,0,0
729911,高齡長期照護學位學程,D 日,M 碩士,2,14,1,6,0,0,0,0,0,0,0,0,0,0,0,0
729913,生物科技暨製藥技術系,D 日,M 碩士,6,0,4,3,5,1,2,0,0,0,0,0,0,0,0,0
